1	p36.33	0	2300000	gneg	1
2	p36.32	2300000	5300000	gpos25	1
3	p36.31	5300000	7100000	gneg	1
4	p36.23	7100000	9200000	gpos25	1
5	p36.22	9200000	12600000	gneg	1
6	p36.21	12600000	16100000	gpos50	1
7	p36.13	16100000	20300000	gneg	1
8	p36.12	20300000	23800000	gpos25	1
9	p36.11	23800000	27800000	gneg	1
10	p35.3	27800000	30000000	gpos25	1
11	p35.2	30000000	32200000	gneg	1
12	p35.1	32200000	34400000	gpos25	1
13	p34.3	34400000	39600000	gneg	1
14	p34.2	39600000	43900000	gpos25	1
15	p34.1	43900000	46500000	gneg	1
16	p33	46500000	51300000	gpos75	1
17	p32.3	51300000	56200000	gneg	1
18	p32.2	56200000	58700000	gpos50	1
19	p32.1	58700000	60900000	gneg	1
20	p31.3	60900000	68700000	gpos50	1
21	p31.2	68700000	69500000	gneg	1
22	p31.1	69500000	84700000	gpos100	1
23	p22.3	84700000	88100000	gneg	1
24	p22.2	88100000	92000000	gpos75	1
25	p22.1	92000000	94500000	gneg	1
26	p21.3	94500000	99400000	gpos75	1
27	p21.2	99400000	102000000	gneg	1
28	p21.1	102000000	107000000	gpos100	1
29	p13.3	107000000	111600000	gneg	1
30	p13.2	111600000	115900000	gpos50	1
31	p13.1	115900000	117600000	gneg	1
32	p12	117600000	120700000	gpos50	1
33	p11.2	120700000	121100000	gneg	1
34	p11.1	121100000	124300000	acen	1
35	q11	124300000	128000000	acen	1
36	q12	128000000	142400000	gvar	1
37	q21.1	142400000	148000000	gneg	1
38	q21.2	148000000	149600000	gpos50	1
39	q21.3	149600000	153300000	gneg	1
40	q22	153300000	154800000	gpos50	1
41	q23.1	154800000	157300000	gneg	1
42	q23.2	157300000	158800000	gpos50	1
43	q23.3	158800000	163800000	gneg	1
44	q24.1	163800000	165500000	gpos50	1
45	q24.2	165500000	169100000	gneg	1
46	q24.3	169100000	171200000	gpos75	1
47	q25.1	171200000	174300000	gneg	1
48	q25.2	174300000	178600000	gpos50	1
49	q25.3	178600000	184000000	gneg	1
50	q31.1	184000000	189000000	gpos100	1
51	q31.2	189000000	192100000	gneg	1
52	q31.3	192100000	197500000	gpos100	1
53	q32.1	197500000	205300000	gneg	1
54	q32.2	205300000	209500000	gpos25	1
55	q32.3	209500000	212100000	gneg	1
56	q41	212100000	222100000	gpos100	1
57	q42.11	222100000	222700000	gneg	1
58	q42.12	222700000	225100000	gpos25	1
59	q42.13	225100000	228800000	gneg	1
60	q42.2	228800000	232700000	gpos50	1
61	q42.3	232700000	234600000	gneg	1
62	q43	234600000	241700000	gpos75	1
63	q44	241700000	247249719	gneg	1
64	p15.3	0	3000000	gneg	2
65	p15.2	3000000	3800000	gpos25	2
66	p15.1	3800000	6700000	gneg	2
67	p14	6700000	12300000	gpos75	2
68	p13	12300000	17300000	gneg	2
69	p12.33	17300000	19900000	gpos75	2
70	p12.32	19900000	20500000	gneg	2
71	p12.31	20500000	22800000	gpos75	2
72	p12.2	22800000	24100000	gneg	2
73	p12.1	24100000	28300000	gpos50	2
74	p11.23	28300000	31400000	gneg	2
75	p11.22	31400000	34500000	gpos25	2
76	p11.21	34500000	38800000	gneg	2
77	p11.1	38800000	40300000	acen	2
78	q11.1	40300000	42100000	acen	2
79	q11.21	42100000	46100000	gneg	2
80	q11.22	46100000	50100000	gpos25	2
81	q11.23	50100000	53300000	gneg	2
82	q21.1	53300000	61200000	gpos100	2
83	q21.2	61200000	64800000	gneg	2
84	q21.3	64800000	71300000	gpos100	2
85	q22.1	71300000	74600000	gneg	2
86	q22.2	74600000	77400000	gpos50	2
87	q22.3	77400000	82000000	gneg	2
88	q23.1	82000000	87900000	gpos100	2
89	q23.2	87900000	89600000	gneg	2
90	q23.31	89600000	92900000	gpos75	2
91	q23.32	92900000	94200000	gneg	2
92	q23.33	94200000	98000000	gpos50	2
93	q24.1	98000000	99400000	gneg	2
94	q24.2	99400000	102000000	gpos50	2
95	q24.31	102000000	103000000	gneg	2
96	q24.32	103000000	104900000	gpos25	2
97	q24.33	104900000	105700000	gneg	2
98	q25.1	105700000	111800000	gpos100	2
99	q25.2	111800000	114900000	gneg	2
100	q25.3	114900000	119100000	gpos75	2
101	q26.11	119100000	121700000	gneg	2
102	q26.12	121700000	123100000	gpos50	2
103	q26.13	123100000	127400000	gneg	2
104	q26.2	127400000	130500000	gpos50	2
105	q26.3	130500000	135374737	gneg	2
106	p15.5	0	2800000	gneg	3
107	p15.4	2800000	10700000	gpos50	3
108	p15.3	10700000	12600000	gneg	3
109	p15.2	12600000	16100000	gpos50	3
110	p15.1	16100000	21600000	gneg	3
111	p14.3	21600000	26000000	gpos100	3
112	p14.2	26000000	27200000	gneg	3
113	p14.1	27200000	31000000	gpos75	3
114	p13	31000000	36400000	gneg	3
115	p12	36400000	43400000	gpos100	3
116	p11.2	43400000	48800000	gneg	3
117	p11.12	48800000	51400000	gpos75	3
118	p11.11	51400000	52900000	acen	3
119	q11	52900000	56400000	acen	3
120	q12.1	56400000	59700000	gpos75	3
121	q12.2	59700000	61400000	gneg	3
122	q12.3	61400000	63100000	gpos25	3
123	q13.1	63100000	67100000	gneg	3
124	q13.2	67100000	69200000	gpos25	3
125	q13.3	69200000	70700000	gneg	3
126	q13.4	70700000	74900000	gpos50	3
127	q13.5	74900000	76700000	gneg	3
128	q14.1	76700000	85300000	gpos100	3
129	q14.2	85300000	87900000	gneg	3
130	q14.3	87900000	92300000	gpos100	3
131	q21	92300000	96700000	gneg	3
132	q22.1	96700000	101600000	gpos100	3
133	q22.2	101600000	102400000	gneg	3
134	q22.3	102400000	110000000	gpos100	3
135	q23.1	110000000	112800000	gneg	3
136	q23.2	112800000	115400000	gpos50	3
137	q23.3	115400000	120700000	gneg	3
138	q24.1	120700000	123500000	gpos50	3
139	q24.2	123500000	127400000	gneg	3
140	q24.3	127400000	130300000	gpos50	3
141	q25	130300000	134452384	gneg	3
142	p13.33	0	3100000	gneg	4
143	p13.32	3100000	5300000	gpos25	4
144	p13.31	5300000	10000000	gneg	4
145	p13.2	10000000	12600000	gpos75	4
146	p13.1	12600000	14800000	gneg	4
147	p12.3	14800000	19900000	gpos100	4
148	p12.2	19900000	21200000	gneg	4
149	p12.1	21200000	26300000	gpos100	4
150	p11.23	26300000	27700000	gneg	4
151	p11.22	27700000	30600000	gpos50	4
152	p11.21	30600000	33200000	gneg	4
153	p11.1	33200000	35400000	acen	4
154	q11	35400000	36500000	acen	4
155	q12	36500000	44600000	gpos100	4
156	q13.11	44600000	47400000	gneg	4
157	q13.12	47400000	48400000	gpos25	4
158	q13.13	48400000	53100000	gneg	4
159	q13.2	53100000	55200000	gpos25	4
160	q13.3	55200000	56300000	gneg	4
161	q14.1	56300000	61400000	gpos75	4
162	q14.2	61400000	63400000	gneg	4
163	q14.3	63400000	66000000	gpos50	4
164	q15	66000000	69800000	gneg	4
165	q21.1	69800000	74100000	gpos75	4
166	q21.2	74100000	78700000	gneg	4
167	q21.31	78700000	85100000	gpos100	4
168	q21.32	85100000	87500000	gneg	4
169	q21.33	87500000	91200000	gpos100	4
170	q22	91200000	94800000	gneg	4
171	q23.1	94800000	100000000	gpos75	4
172	q23.2	100000000	102400000	gneg	4
173	q23.3	102400000	107500000	gpos50	4
174	q24.11	107500000	110200000	gneg	4
175	q24.12	110200000	110800000	gpos25	4
176	q24.13	110800000	112800000	gneg	4
177	q24.21	112800000	115300000	gpos50	4
178	q24.22	115300000	116700000	gneg	4
179	q24.23	116700000	119100000	gpos50	4
180	q24.31	119100000	124500000	gneg	4
181	q24.32	124500000	128700000	gpos50	4
182	q24.33	128700000	132349534	gneg	4
183	p13	0	3800000	gvar	5
184	p12	3800000	8300000	stalk	5
185	p11.2	8300000	13500000	gvar	5
186	p11.1	13500000	16000000	acen	5
187	q11	16000000	18400000	acen	5
188	q12.11	18400000	22200000	gneg	5
189	q12.12	22200000	24400000	gpos25	5
190	q12.13	24400000	26700000	gneg	5
191	q12.2	26700000	27800000	gpos25	5
192	q12.3	27800000	31100000	gneg	5
193	q13.1	31100000	32900000	gpos50	5
194	q13.2	32900000	34700000	gneg	5
195	q13.3	34700000	39500000	gpos75	5
196	q14.11	39500000	44300000	gneg	5
197	q14.12	44300000	45900000	gpos25	5
198	q14.13	45900000	46200000	gneg	5
199	q14.2	46200000	48900000	gpos50	5
200	q14.3	48900000	52200000	gneg	5
201	q21.1	52200000	57600000	gpos100	5
202	q21.2	57600000	60500000	gneg	5
203	q21.31	60500000	64100000	gpos75	5
204	q21.32	64100000	67200000	gneg	5
205	q21.33	67200000	72100000	gpos100	5
206	q22.1	72100000	74200000	gneg	5
207	q22.2	74200000	76000000	gpos50	5
208	q22.3	76000000	77800000	gneg	5
209	q31.1	77800000	86500000	gpos100	5
210	q31.2	86500000	88800000	gneg	5
211	q31.3	88800000	93800000	gpos100	5
212	q32.1	93800000	97000000	gneg	5
213	q32.2	97000000	98100000	gpos25	5
214	q32.3	98100000	100500000	gneg	5
215	q33.1	100500000	103700000	gpos100	5
216	q33.2	103700000	105800000	gneg	5
217	q33.3	105800000	109100000	gpos100	5
218	q34	109100000	114142980	gneg	5
219	p13	0	3100000	gvar	6
220	p12	3100000	6700000	stalk	6
221	p11.2	6700000	13600000	gvar	6
222	p11.1	13600000	15600000	acen	6
223	q11.1	15600000	19100000	acen	6
224	q11.2	19100000	23600000	gneg	6
225	q12	23600000	31800000	gpos100	6
226	q13.1	31800000	34100000	gneg	6
453	p13	0	2900000	gvar	14
454	p12	2900000	6300000	stalk	14
455	p11.2	6300000	10000000	gvar	14
456	p11.1	10000000	12300000	acen	14
457	q11.1	12300000	13200000	acen	14
458	q11.2	13200000	15300000	gneg	14
459	q21.1	15300000	22900000	gpos100	14
460	q21.2	22900000	25800000	gneg	14
461	q21.3	25800000	30500000	gpos75	14
462	q22.11	30500000	34700000	gneg	14
463	q22.12	34700000	36700000	gpos50	14
464	q22.13	36700000	38600000	gneg	14
465	q22.2	38600000	41400000	gpos50	14
466	q22.3	41400000	46944323	gneg	14
467	p13	0	3000000	gvar	15
468	p12	3000000	6600000	stalk	15
469	p11.2	6600000	9600000	gvar	15
470	p11.1	9600000	11800000	acen	15
471	q11.1	11800000	16300000	acen	15
472	q11.21	16300000	20500000	gneg	15
473	q11.22	20500000	21800000	gpos25	15
474	q11.23	21800000	24300000	gneg	15
475	q12.1	24300000	27900000	gpos50	15
476	q12.2	27900000	30500000	gneg	15
477	q12.3	30500000	35900000	gpos50	15
478	q13.1	35900000	39300000	gneg	15
479	q13.2	39300000	42600000	gpos50	15
480	q13.31	42600000	47000000	gneg	15
481	q13.32	47000000	48200000	gpos50	15
482	q13.33	48200000	49691432	gneg	15
483	p26.3	0	3500000	gpos50	16
484	p26.2	3500000	5500000	gneg	16
485	p26.1	5500000	8700000	gpos50	16
486	p25.3	8700000	11500000	gneg	16
487	p25.2	11500000	12400000	gpos25	16
488	p25.1	12400000	14700000	gneg	16
489	p24.3	14700000	23800000	gpos100	16
490	p24.2	23800000	26400000	gneg	16
491	p24.1	26400000	30800000	gpos75	16
492	p23	30800000	32100000	gneg	16
493	p22.3	32100000	36500000	gpos50	16
494	p22.2	36500000	39300000	gneg	16
495	p22.1	39300000	43600000	gpos75	16
496	p21.33	43600000	44400000	gneg	16
497	p21.32	44400000	44700000	gpos50	16
498	p21.31	44700000	51400000	gneg	16
499	p21.2	51400000	51700000	gpos25	16
500	p21.1	51700000	54400000	gneg	16
501	p14.3	54400000	58500000	gpos50	16
502	p14.2	58500000	63700000	gneg	16
503	p14.1	63700000	71800000	gpos50	16
504	p13	71800000	74200000	gneg	16
505	p12.3	74200000	81800000	gpos75	16
506	p12.2	81800000	83700000	gneg	16
507	p12.1	83700000	87200000	gpos75	16
508	p11.2	87200000	89400000	gneg	16
509	p11.1	89400000	91700000	acen	16
510	q11.1	91700000	93200000	acen	16
511	q11.2	93200000	99800000	gvar	16
512	q12.1	99800000	101500000	gneg	16
513	q12.2	101500000	102500000	gpos25	16
514	q12.3	102500000	104400000	gneg	16
515	q13.11	104400000	107800000	gpos75	16
516	q13.12	107800000	109500000	gneg	16
517	q13.13	109500000	112800000	gpos50	16
518	q13.2	112800000	115000000	gneg	16
519	q13.31	115000000	118800000	gpos75	16
520	q13.32	118800000	120500000	gneg	16
521	q13.33	120500000	123400000	gpos75	16
522	q21.1	123400000	125400000	gneg	16
523	q21.2	125400000	127700000	gpos25	16
524	q21.3	127700000	131500000	gneg	16
525	q22.1	131500000	135700000	gpos25	16
526	q22.2	135700000	137400000	gneg	16
527	q22.3	137400000	140400000	gpos25	16
528	q23	140400000	144400000	gneg	16
529	q24	144400000	150400000	gpos100	16
530	q25.1	150400000	153500000	gneg	16
531	q25.2	153500000	156300000	gpos50	16
532	q25.31	156300000	158100000	gneg	16
533	q25.32	158100000	159900000	gpos50	16
534	q25.33	159900000	161200000	gneg	16
535	q26.1	161200000	169200000	gpos100	16
536	q26.2	169200000	172500000	gneg	16
537	q26.31	172500000	177300000	gpos75	16
538	q26.32	177300000	180600000	gneg	16
539	q26.33	180600000	184200000	gpos75	16
540	q27.1	184200000	186000000	gneg	16
541	q27.2	186000000	187500000	gpos25	16
542	q27.3	187500000	189400000	gneg	16
543	q28	189400000	193800000	gpos75	16
544	q29	193800000	199501827	gneg	16
545	p16.3	0	3100000	gneg	17
546	p16.2	3100000	5200000	gpos25	17
547	p16.1	5200000	10900000	gneg	17
548	p15.33	10900000	15300000	gpos50	17
549	p15.32	15300000	18500000	gneg	17
550	p15.31	18500000	23100000	gpos75	17
551	p15.2	23100000	27900000	gneg	17
552	p15.1	27900000	35500000	gpos100	17
553	p14	35500000	40900000	gneg	17
554	p13	40900000	45600000	gpos50	17
555	p12	45600000	48700000	gneg	17
556	p11	48700000	50700000	acen	17
557	q11	50700000	52400000	acen	17
558	q12	52400000	59200000	gneg	17
559	q13.1	59200000	66300000	gpos100	17
560	q13.2	66300000	70400000	gneg	17
561	q13.3	70400000	76500000	gpos75	17
562	q21.1	76500000	79200000	gneg	17
563	q21.21	79200000	82600000	gpos50	17
564	q21.22	82600000	84300000	gneg	17
565	q21.23	84300000	87100000	gpos25	17
566	q21.3	87100000	88200000	gneg	17
567	q22.1	88200000	94000000	gpos75	17
568	q22.2	94000000	95400000	gneg	17
569	q22.3	95400000	99100000	gpos75	17
570	q23	99100000	102500000	gneg	17
571	q24	102500000	107900000	gpos50	17
572	q25	107900000	114100000	gneg	17
573	q26	114100000	120600000	gpos75	17
574	q27	120600000	124000000	gneg	17
575	q28.1	124000000	129100000	gpos50	17
576	q28.2	129100000	131300000	gneg	17
577	q28.3	131300000	139500000	gpos100	17
578	q31.1	139500000	141700000	gneg	17
579	q31.21	141700000	145000000	gpos25	17
580	q31.22	145000000	147700000	gneg	17
581	q31.23	147700000	151000000	gpos25	17
582	q31.3	151000000	155100000	gneg	17
583	q32.1	155100000	161500000	gpos100	17
584	q32.2	161500000	164500000	gneg	17
585	q32.3	164500000	170400000	gpos100	17
586	q33	170400000	172200000	gneg	17
587	q34.1	172200000	176600000	gpos75	17
588	q34.2	176600000	177800000	gneg	17
589	q34.3	177800000	182600000	gpos100	17
590	q35.1	182600000	187300000	gneg	17
591	q35.2	187300000	191273063	gpos25	17
592	p15.33	0	4400000	gneg	18
593	p15.32	4400000	6000000	gpos25	18
594	p15.31	6000000	8200000	gneg	18
595	p15.2	8200000	15100000	gpos50	18
596	p15.1	15100000	18500000	gneg	18
597	p14.3	18500000	23300000	gpos100	18
598	p14.2	23300000	24700000	gneg	18
599	p14.1	24700000	29300000	gpos100	18
600	p13.3	29300000	34400000	gneg	18
601	p13.2	34400000	38500000	gpos25	18
602	p13.1	38500000	42400000	gneg	18
603	p12	42400000	45800000	gpos50	18
604	p11	45800000	47700000	acen	18
605	q11.1	47700000	50500000	acen	18
606	q11.2	50500000	58900000	gneg	18
607	q12.1	58900000	63000000	gpos75	18
608	q12.2	63000000	63700000	gneg	18
609	q12.3	63700000	66500000	gpos75	18
610	q13.1	66500000	68400000	gneg	18
611	q13.2	68400000	73300000	gpos50	18
612	q13.3	73300000	76400000	gneg	18
613	q14.1	76400000	81300000	gpos50	18
614	q14.2	81300000	82800000	gneg	18
615	q14.3	82800000	91900000	gpos100	18
616	q15	91900000	97300000	gneg	18
617	q21.1	97300000	102800000	gpos100	18
618	q21.2	102800000	104500000	gneg	18
619	q21.3	104500000	109600000	gpos100	18
620	q22.1	109600000	111500000	gneg	18
621	q22.2	111500000	113100000	gpos50	18
622	q22.3	113100000	115200000	gneg	18
623	q23.1	115200000	121500000	gpos100	18
624	q23.2	121500000	127300000	gneg	18
625	q23.3	127300000	130400000	gpos100	18
626	q31.1	130400000	135400000	gneg	18
627	q31.2	135400000	139000000	gpos25	18
628	q31.3	139000000	143100000	gneg	18
629	q32	143100000	147200000	gpos75	18
630	q33.1	147200000	152100000	gneg	18
631	q33.2	152100000	155600000	gpos50	18
632	q33.3	155600000	159900000	gneg	18
633	q34	159900000	167400000	gpos100	18
634	q35.1	167400000	172200000	gneg	18
635	q35.2	172200000	176500000	gpos25	18
636	q35.3	176500000	180857866	gneg	18
637	p25.3	0	2300000	gneg	19
638	p25.2	2300000	4100000	gpos25	19
639	p25.1	4100000	7000000	gneg	19
640	p24.3	7000000	10600000	gpos50	19
641	p24.2	10600000	11200000	gneg	19
642	p24.1	11200000	13500000	gpos25	19
643	p23	13500000	15500000	gneg	19
644	p22.3	15500000	23500000	gpos75	19
645	p22.2	23500000	26100000	gneg	19
646	p22.1	26100000	29900000	gpos50	19
647	p21.33	29900000	31900000	gneg	19
648	p21.32	31900000	33600000	gpos25	19
649	p21.31	33600000	36800000	gneg	19
650	p21.2	36800000	40600000	gpos25	19
651	p21.1	40600000	45200000	gneg	19
652	p12.3	45200000	51100000	gpos100	19
653	p12.2	51100000	52600000	gneg	19
654	p12.1	52600000	57200000	gpos100	19
655	p11.2	57200000	58400000	gneg	19
656	p11.1	58400000	60500000	acen	19
657	q11.1	60500000	63400000	acen	19
658	q11.2	63400000	63500000	gneg	19
659	q12	63500000	70000000	gpos100	19
